Name,Symbol
Gujarat Fluorochemicals,FLUOROCHEM
Honeywell Automation India,HONAUT
Supreme Industries,SUPREMEIND
Mphasis,MPHASIS
National Mineral Development Corporation,NMDC
Indraprastha Gas,IGL
ACC,ACC
Bandhan Bank,BANDHANBNK
Rural Electrification Corp,RECLTD
Aurobindo Pharma,AUROPHARMA
Oberoi Realty,OBEROIRLTY
Bank of India,BANKINDIA
Lupin Limited,LUPIN
Vodafone Idea,IDEA
Jubilant FoodWorks,JUBLFOOD
Godrej Properties,GODREJPROP
Oil India,OIL
Voltas,VOLTAS
PB Fintech,POLICYBZR
Federal Bank,FEDERALBNK
Thermax,THERMAX
3M India,3MINDIA
Coromandel,COROMANDEL
Escorts Limited,ESCORTS
Torrent Power,TORNTPOWER
Deepak Nitrite,DEEPAKNTR
KPIT Technologies,KPITTECH
Biocon,BIOCON
Tata Chemicals,TATACHEM
Syngene International,SYNGENE
Phoenix Mills,PHOENIXLTD
Jindal Stainless,JSL
CRISIL,CRISIL
GMR Group,GMRINFRA
General Insurance Corporation of India,GICRE
Coforge,COFORGE
JK Cement,JKCEMENT
Max Financial Services,MFSL
Nerolac Paints,KANSAINER
Timken India,TIMKEN
Gland Pharma,GLAND
Atul,ATUL
"Sumitomo Chemical
 India",SUMICHEM
Relaxo Footwear,RELAXO
SKF India,SKFINDIA
Ipca Laboratories,IPCALAB
Zee Entertainment,ZEEL
Grindwell Norton,GRINDWELL
Fortis Healthcare,FORTIS
Apollo Tyres,APOLLOTYRE
ZF Commercial Vehicle Control Systems India,ZFCVINDIA
Hatsun Agro Products,HATSUN
Bata India,BATAINDIA
Bayer Crop Science,BAYERCROP
Carborundum Universal,CARBORUNIV
Aarti Industries,AARTIIND
Rajesh Exports,RAJESHEXPO
LIC Housing Finance,LICHSGFIN
Ramco Cements,RAMCOCEM
IIFL Wealth Management,IIFLWAM
Endurance Technologies,ENDURANCE
Devyani International,DEVYANI
Dixon Technologies,DIXON
Whirlpool India,WHIRLPOOL
Bharat Dynamics,BDL
IIFL Finance,IIFL
Kajaria Ceramics,KAJARIACER
Emami,EMAMILTD
Punjab &amp; Sind Bank,PSB
Prestige Group,PRESTIGE
Radico Khaitan,RADICO
Sun TV Network,SUNTV
New India Assurance,NIACL
Laurus Labs,LAURUSLABS
Bank of Maharashtra,MAHABANK
IndiaMART,INDIAMART
Piramal Enterprises,PEL
Dr Lal PathLabs,LALPATHLAB
Exide Industries,EXIDEIND
PVR Cinemas,PVR
Blue Dart Express,BLUEDART
National Aluminum &amp; Alloy,NATIONALUM
Ratnamani Metals &amp; Tubes,RATNAMANI
Elgi Equipments,ELGIEQUIP
Jindal Stainless (Hisar),JSLHISAR
Blue Star,BLUESTARCO
Sanofi India Limited,SANOFI
Redington India,REDINGTON
Fine Organics,FINEORG
Aavas Financiers,AAVAS
Mahindra CIE,MAHINDCIE
Glenmark Pharmaceuticals,GLENMARK
Bajaj Electricals,BAJAJELEC
IDFC,IDFC
Finolex Cables,FINCABLES
SJVN,SJVN
KEC International,KEC
DCM Shriram,DCMSHRIRAM
Indian Energy Exchange,IEX
Happiest Minds Technologies,HAPPSTMNDS
Cyient,CYIENT
Asahi India Glass,ASAHIINDIA
Chambal Fertilisers,CHAMBLFERT
V-Guard Industries,VGUARD
Finolex Industries,FINPIPE
KIOCL,KIOCL
Natco Pharma,NATCOPHARM
NLC India,NLCINDIA
Tata Teleservices,TTML
CenturyPly,CENTURYPLY
EIH Limited,EIHOTEL
BASF India,BASF
Sheela Foam,SFL
Mahanagar Gas,MGL
Amara Raja Batteries,AMARAJABAT
Zydus Wellness,ZYDUSWELL
Tejas Networks,TEJASNET
Alembic Pharmaceuticals,APLLTD
CDSL,CDSL
Hindustan Copper,HINDCOPPER
City Union Bank,CUB
Kalpataru Power Transmission,KALPATPOWR
Allcargo Logistics,ALLCARGO
Suzlon,SUZLON
Indian Telephone Industries,ITI
RITES,RITES
Hudco,HUDCO
RBL Bank,RBLBANK
Cera Sanitaryware,CERA
Galaxy Surfactants,GALAXYSURF
VIP Industries,VIPIND
Karur Vysya Bank,KARURVYSYA
East India Distilleries Parry,EIDPARRY
Symphony Limited,SYMPHONY
Ingersoll Rand India,INGERRAND
Multi Commodity Exchange,MCX
JBM Auto,JBMA
Chalet Hotels,CHALET
KSB ltd,KSB
TANLA,TANLA
Knr Constructions,KNRCON
EaseMyTrip,EASEMYTRIP
Jindal Worldwide,JINDWORLD
BLS International,BLS
Kirloskar Ferrous Industries,KIRLFER
Zensar,ZENSARTECH
Amber Enterprises India,AMBER
Prince Pipes And Fittings,PRINCEPIPE
SPARC,SPARC
Orient Electric,ORIENTELEC
sterling &amp; wilson solar,SWSOLAR
Sterlite Technologies,STLTECH
CEAT,CEATLTD
NBCC India,NBCC
Praj Industries,PRAJIND
VRL Logistics,VRLLOG
BSE,BSE
Bombay Burmah,BBTC
Network18,NETWORK18
MapmyIndia,MAPMYINDIA
ESAB India,ESABINDIA
Hinduja Global Solutions,HGS
BEML,BEML
Borosil,BORORENEW
Quess,QUESS
Graphite India,GRAPHITE
Mahindra Lifespaces,MAHLIFE
Godawari Power &amp; Ispat,GPIL
Olectra Greentech,OLECTRA
Rashtriya Chemicals and Fertilizers,RCF
Rain Industries,RAIN
Reliance Infrastructure,RELINFRA
PDS Multinational,PDSMFL
Edelweiss Financial Services,EDELWEISS
Transport Corporation of India,TCI
Delta Corp,DELTACORP
Safari Industries India,SAFARI
Suprajit Engineering,SUPRAJIT
Mastek,MASTEK
Action Construction Equipment,ACE
Vaibhav Global,VAIBHAVGBL
Religare,RELIGARE
Ramkrishna Forgings,RKFORGE
Indiabulls Housing Finance,IBULHSGFIN
Jubilant Pharmova,JUBLPHARMA
CSB Bank,CSBBANK
PCBL Limited,PCBL
FDC India,FDC
JSW Holdings,JSWHL
Gujarat Alkalies and Chemicals,GUJALKALI
Sunteck Realty,SUNTECK
Engineers India,ENGINERSIN
MMTC,MMTC
Gujarat Mineral Development,GMDCLTD
Karnataka Bank,KTKBANK
Gateway Distriparks,GDL
Tata Coffee,TATACOFFEE
Anant Raj,ANANTRAJ
Varroc,VARROC
Greenlam Industries,GREENLAM
Schneider Electric Infrastructure,SCHNEIDER
HEG,HEG
Infibeam Avenues,INFIBEAM
Chennai Petroleum,CHENNPETRO
Heidelbergcement India,HEIDELBERG
Polyplex,POLYPLEX
Spandana Sphoorty Financial,SPANDANA
Surya Roshni,SURYAROSNI
Mirza International,MIRZAINT
Automotive Axles,AUTOAXLES
South Indian Bank,SOUTHBANK
Reliance Power,RPOWER
West Coast Paper Mills,WSTCSTPAPR
Power Mech Projects,POWERMECH
National Fertilizers,NFL
Hikal,HIKAL
Nazara Technologies,NAZARA
Mishra Dhatu Nigam,MIDHANI
Vesuvius India,VESUVIUS
Marksans Pharma,MARKSANS
Aarti Drugs,AARTIDRUGS
The Tinplate Company Of India,TINPLATE
Greenpanel Industries,GREENPANEL
Inox Wind,INOXWIND
Indoco Remedies,INDOCO
IFB Industries,IFBIND
MOIL,MOIL
Tata Steel Long Products,TATASTLLP
JCI Hitachi India,JCHAC
Kaveri Seed,KSCL
Voltamp Transformers,VOLTAMP
Sudarshan Chemical,SUDARSCHEM
TCNS Clothing,TCNSBRANDS
Nilkamal,NILKAMAL
Kewal Kiran Clothing,KKCL
Strides Pharma,STAR
Mahindra Logistics,MAHLOG
PTC India,PTC
HBL Power Systems,HBLPOWER
Paisalo Digital,PAISALO
India Tourism Development Corp,ITDC
Barbeque Nation Hospitality,BARBEQUE
JTEKT India,JTEKTINDIA
Dish TV,DISHTV
Prime Focus,PFOCUS
Hathway,HATHWAY
Neuland Laboratories,NEULANDLAB
Orient Cement,ORIENTCEM
Jindal Poly Films,JINDALPOLY
Astec Lifesciences,ASTEC
Apollo Pipes,APOLLOPIPE
Arvind,ARVIND
Somany Ceramics,SOMANYCERA
VA Tech Wabag,WABAG
Ashoka Buildcon,ASHOKA
MM Forgings,MMFL
Hindustan Sanitaryware &amp; Industries,HSIL
Gulf Oil Lubricants,GULFOILLUB
Subros,SUBROS
Honda Siel Power Products,HONDAPOWER
Vst Tillers Tractors,VSTTILLERS
Cigniti Technologies,CIGNITITEC
Hindustan Construction Company,HCC
Gabriel India,GABRIEL
Siyaram Silk Mills,SIYSIL
Astra Microwave,ASTRAMICRO
Electrosteel Castings,ELECTCAST
Jain Irrigation Systems,JISLDVREQS
CARE's Ratings,CARERATING
Jagran Prakashan,JAGRAN
India Glycols,INDIAGLYCO
SpiceJet,SPICEJET
Gallantt Ispat,GALLISPAT
MPS Limited,MPSLTD
Hyderabad Industries Limited,HIL
Sundaram Finance,SUNDARMHLD
Accelya,ACCELYA
Sequent Scientific,SEQUENT
MSTC Limited,MSTCLTD
Greenply,GREENPLY
Federal-Mogul Goetze,FMGOETZE
Jaypee Group,JPASSOCIAT
Nucleus Software Exports,NUCLEUS
Vidhi Specialty Food,VIDHIING
Wendt India,WENDT
NACL Industries,NACLIND
Time Technoplast,TIMETECHNO
Ashiana Housing,ASHIANA
Confidence Petroleum,CONFIPET
Hindustan Oil Exploration Company,HINDOILEXP
Rupa Company,RUPA
Lumax Industries,LUMAXIND
Sanghi Industries,SANGHIIND
Vadilal Industries,VADILALIND
RattanIndia Power,RTNPOWER
Foseco India,FOSECOIND
Kingfa Science & Technology,KINGFA
Filatex India,FILATEX
Indian Metals &amp; Ferro Alloys,IMFA
Force Motors,FORCEMOT
Alembic Limited,ALEMBICLTD
Huhtamaki India,HUHTAMAKI
Sterling Tools,STERTOOLS
Tide Water Oil,TIDEWATER
INEOS Styrolution,INEOSSTYRO
Puravankara,PURVA
Dhampur Sugar Mills,DHAMPURSUG
Tamil Nadu Newsprint and Papers Limited,TNPL
Hester Biosciences,HESTERBIO
Shankara Building,SHANKARA
Aptech,APTECHT
Texmaco Rail &amp; Engineering,TEXRAIL
Cantabil Retail India,CANTABIL
Gati,GATI
Sandhar,SANDHAR
Shalby,SHALBY
I.g. Petrochemicals,IGPL
KCP Limited,KCP
Rane Holdings,RANEHOLDIN
Sasken Technologies,SASKEN
Mangalore Chemicals and Fertilizers,MANGCHEFER
Wheels India,WHEELS
Nelco,NELCO
Repco Home Finance,REPCOHOME
RPG Life Sciences,RPGLIFE
Mahanagar Telephone Nigam,MTNL
Southern Petrochemical Industries Corp,SPIC
GTPL Hathway,GTPL
Igarashi Motors India,IGARASHI
Oriental Aromatics,OAL
Kuantum Papers,KUANTUM
Srikalahasthi Pipes,SRIPIPES
SML Isuzu,SMLISUZU
Indorama Synthetics,INDORAMA
Anup Engineering,ANUP
Excel Industries,EXCELINDUS
Geojit Financial Services,GEOJITFSL
Kitex Garments,KITEX
Skipper Limited,SKIPPER
Omaxe,OMAXE
Prakash Industries,PRAKASH
Rico Auto Industries,RICOAUTO
Navkar Corp,NAVKARCORP
GTL Infrastructure,GTLINFRA
Parag Milk Foods,PARAGMILK
India Motor Parts and Accessories,IMPAL
PTC Financial Services,PFS
Capacit'e Infraprojects,CAPACITE
India Nippon Electricals,INDNIPPON
Orient Paper Mills,ORIENTPPR
Bliss GVS Pharma,BLISSGVS
Bodal Chemicals,BODALCHEM
Quick Heal,QUICKHEAL
Kokuyo Camlin,KOKUYOCMLN
Himatsingka Seide,HIMATSEIDE
Mangalam Cement,MANGLMCEM
Ebixcash India,EBIXFOREX
GE Power India,GEPIL
Apex Frozen Foods,APEX
Coffee Day Enterprises,COFFEEDAY
Jay Bharat Maruti,JAYBARMARU
Spencer's Retail,SPENCERS
Rane Brake Lining,RBL
3i Infotech,3IINFOLTD
Asian Granito India,ASIANTILES
Kellton Tech Solutions,KELLTONTEC
Hinduja Ventures,NXTDIGITAL
Balaji Telefilms,BALAJITELE
N.B.I. Industrial Finance,NBIFIN
Reliance Communications,RCOM
Radio City,RADIOCITY
Nectar Lifesciences,NECLIFE
Hindustan Media Ventures,HMVL
MEP Infrastructure,MEP
Future Retail,FRETAIL
Srei Infrastructure Finance,SREINFRA
Zee Learn,ZEELEARN
Jump Networks,JUMPNET
Future Supply Chain Solutions,FSC
